Anio,Top 1,Top 2,Top 3
2009,"('Valve', 426)","('Tripwire Interactive', 178)","('Infinity Ward,Aspyr (Mac)', 47)"
2013,"('Bohemia Interactive', 516)","('Facepunch Studios', 441)","('Digital Extremes', 383)"
2015,"('Psyonix, Inc.', 176)","('Rockstar North', 154)","('tobyfox', 147)"
2014,"('Edge of Reality', 198)","('Coffee Stain Studios', 152)","('New World Interactive', 132)"
2011,"('Re-Logic', 515)","('Valve', 252)","('No More Room in Hell Team', 146)"
2016,"('Chucklefish', 251)","('Reto-Moto', 119)","('Klei Entertainment', 75)"
2012,"('Valve', 2095)","('Gearbox Software,Aspyr (Mac &amp; Linux)', 389)","('Daybreak Game Company', 235)"
2004,"('Valve', 293)","('The Creative Assembly', 10)","('Troika Games', 4)"
2007,"('Valve', 2442)","('2K Boston,2K Australia', 49)","('Zombie Panic Team', 18)"
2017,"('Smartly Dressed Games', 594)","('Freejam', 178)","('Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC', 160)"
2006,"('Facepunch Studios', 1104)","('Nabi Studios', 47)","('Relic Entertainment', 33)"
2010,"('Firaxis Games,Aspyr (Mac, Linux)', 238)","('TaleWorlds Entertainment', 136)","('Obsidian Entertainment', 130)"
2002,"('Bethesda Game Studios', 14)","('Rockstar Games', 6)","('FireFly Studios', 3)"
1995,"('LucasArts', 5)","('id Software', 4)","('Wisdom Tree, Inc.', 1)"
2003,"('Running With Scissors', 37)","('BioWare,Aspyr (Mac)', 15)","('Rockstar Games', 10)"
2005,"('Pandemic Studios', 58)","('Synergy Team', 19)","('Rockstar Games', 19)"
1998,"('Valve', 40)","('Oddworld Inhabitants', 5)","('Black Isle Studios', 4)"
2008,"('Treyarch', 39)","('Dylan Fitterer', 29)","('Maxisâ„¢', 25)"
1990,"('id Software', 3)","('LucasArts', 1)","('Gremlin Interactive', 1)"
1992,"('3D Realms (Apogee Software)', 1)","('Redwood Games', 1)","('Irrational Games,Looking Glass Studios', 4)"
1993,"('Humongous Entertainment', 1)","('MicroProse Software, Inc', 1)","('Rebellion', 5)"
1999,"('Sven Co-op Team', 11)","('Valve', 6)","('Volition, Inc.', 2)"
2000,"('Valve', 37)","('Ion Storm', 8)","('Cavedog Entertainment', 3)"
2001,"('Gearbox Software', 3)","('Firaxis Games', 3)","('Gremlin Interactive', 1)"
1997,"('Oddworld Inhabitants', 15)","('Interplay Inc.', 4)","('Humongous Entertainment', 1)"
1996,"('Cyberdreams', 1)","('Rogue Entertainment', 1)",
1994,"('id Software', 5)","('Lucasfim', 1)",
1989,"('MicroProse Software, Inc', 1)",,
1991,"('3D Realms (Apogee Software)', 1)",,
